lang,tag,text
en,Rates,70c price increased by ₹10 today
te,రేట్స్,70 కౌంట్ ధర ఈ రోజు ₹10 పెరిగింది
en,Rates,50c price dropped by ₹5 in Ongole market
te,రేట్స్,50 కౌంట్ ధర ఒంగోలు మార్కెట్‌లో ₹5 తగ్గింది
en,Seed,New PL batch available from 5th Sept
te,సీడ్స్,సెప్టెంబర్ 5 నుండి కొత్త PL బ్యాచ్ అందుబాటులో
en,Seed,Bonus increased to 35% for Vannamei orders
te,సీడ్స్,వన్నామీ ఆర్డర్లపై బోనస్ 35% కి పెరిగింది
en,Harvest,Heavy rains predicted — delay harvests
te,హార్వెస్ట్,భారీ వర్షాలు — హార్వెస్ట్ వాయిదా వేసుకోండి
en,Market,Feed prices to increase from Sept 10
te,మార్కెట్,ఫీడ్ ధరలు సెప్టెంబర్ 10 నుండి పెరగనున్నాయి
en,Market,Ice shortage in Chirala — price hike expected
te,మార్కెట్,చిరాలలో ఐస్ కొరత — ధరలు పెరగవచ్చు
